time,IMU1.loc_acc_x,IMU1.loc_acc_y,IMU1.loc_acc_z,IMU2.loc_acc_x,IMU2.loc_acc_y,IMU2.loc_acc_z,IMU1.gyro_x,IMU1.gyro_y,IMU1.gyro_z,IMU2.gyro_x,IMU2.gyro_y,IMU2.gyro_z,IMU1.quat_i,IMU1.quat_j,IMU1.quat_k,IMU1.quat_w,IMU2.quat_i,IMU2.quat_j,IMU2.quat_k,IMU2.quat_w,IMU1.roll_x,IMU1.pitch_y,IMU1.yaw_z,IMU2.roll_x,IMU2.pitch_y,IMU2.yaw_z,IMU1.localVelocity_x,IMU1.localVelocity_y,IMU1.localVelocity_z,IMU2.localVelocity_x,IMU2.localVelocity_y,IMU2.localVelocity_z,IMU1.globalVelocity_x,IMU1.globalVelocity_y,IMU1.globalVelocity_z,IMU2.globalVelocity_x,IMU2.globalVelocity_y,IMU2.globalVelocity_z,mcl_sync,label_sync
1677190280948000,-0.527358,7.590263,-7.171025,0.000000,0.000000,-9.804654,0.314407,-0.036869,-0.074562,0.000000,0.000000,0.000000,0.098730,0.006164,-0.000611,0.995323,0.000000,0.000000,0.000000,1.000119,0.197830,0.012391,0.000000,0.000000,0.000000,0.000000,0.002863,-0.001867,0.005146,0.027205,-0.066009,-0.004617,-0.008619,-0.020608,-0.008412,0.266128,-0.106813,-0.165878,0,0
1677190280968000,0.234678,5.761674,-6.657772,-0.192038,1.719544,-9.668880,0.257720,0.036354,-0.160951,-0.027788,0.003324,-0.004406,0.188953,0.004895,-0.000942,0.982194,-0.093410,-0.010343,-0.000971,0.995794,0.380275,0.009972,0.000000,-0.187143,-0.020783,-0.000001,0.009147,0.094451,-0.093622,0.012196,0.003063,-0.133704,-0.004491,0.127978,-0.086923,0.269071,-0.100261,-0.364818,0,0
1677190280988000,0.103445,4.272416,-6.007297,2.121840,-14.592936,-14.849634,0.213433,0.092307,-0.168918,-5.208648,0.532963,-0.889820,0.268043,0.005858,-0.001629,0.963593,-0.238755,-0.019616,-0.004818,0.971226,0.542827,0.012164,0.000000,-0.482419,-0.040414,0.000009,0.012804,0.160993,-0.179396,0.043631,-0.253875,-0.366265,-0.002896,0.255364,-0.143273,0.319374,-0.487839,-0.493337,0,0
1677190281008000,-0.345533,3.090467,-5.725019,1.883769,-1.360091,-9.747277,0.148494,0.089355,-0.099072,-3.283059,-0.138183,-0.885036,0.338012,0.011812,-0.004242,0.941254,-0.354966,-0.054611,-0.020770,0.933372,0.689767,0.025108,-0.000001,-0.727227,-0.116957,-0.000001,0.007476,0.203935,-0.259593,0.070493,-0.245951,-0.496732,-0.010794,0.368064,-0.189663,0.374442,-0.629008,-0.618195,0,0
1677190281028000,-0.225882,2.331529,-4.700959,1.606136,3.559654,-8.096442,0.252202,0.018078,-0.039444,-3.960906,-0.595266,-0.927454,0.396211,0.015074,-0.006505,0.918195,-0.456781,-0.112556,-0.058378,0.880847,0.814989,0.032842,-0.000001,-0.957304,-0.254355,-0.000018,0.004532,0.231768,-0.319429,0.092012,-0.139466,-0.594227,-0.016073,0.460626,-0.217626,0.446425,-0.711655,-0.759259,0,0
1677190281047999,-0.052241,1.936684,-4.061380,1.834517,0.385609,-4.597580,0.253891,-0.070713,-0.027689,-4.084058,-0.783924,-1.188683,0.445460,0.015387,-0.007656,0.895312,-0.536669,-0.145749,-0.094707,0.825995,0.923617,0.034379,-0.000001,-1.152838,-0.349500,-0.000019,0.005051,0.251804,-0.366647,0.118328,-0.096331,-0.621882,-0.017498,0.540944,-0.233220,0.498930,-0.783866,-0.790961,0,0
1677190281067999,0.198018,1.353005,-3.587396,1.597679,-1.305653,-3.304392,0.220684,-0.081253,-0.058115,-3.196271,-0.676792,-1.462915,0.486992,0.013285,-0.007407,0.873443,-0.594987,-0.164155,-0.125721,0.776937,1.017501,0.030426,-0.000000,-1.307497,-0.416628,-0.000016,0.010562,0.260294,-0.404608,0.140157,-0.086926,-0.623902,-0.013747,0.608368,-0.245571,0.527788,-0.845816,-0.773274,0,0
1677190281087999,0.174359,0.819473,-2.360497,0.636213,-5.629724,-2.797394,0.370496,-0.061727,-0.046807,-2.313299,-0.569801,-1.539475,0.516362,0.011479,-0.006921,0.856424,-0.639108,-0.162570,-0.140664,0.738677,1.085379,0.026812,-0.000000,-1.426855,-0.433414,-0.000012,0.015583,0.258271,-0.418307,0.143026,-0.163942,-0.616101,-0.010223,0.649935,-0.250736,0.498831,-0.908725,-0.676651,0,0
1677190281107999,0.106969,0.704265,-1.888790,-0.098305,-14.694715,-3.251853,0.656252,-0.062059,0.000283,0.396639,-0.596601,-1.480775,0.543131,0.009969,-0.006448,0.839723,-0.656681,-0.152886,-0.138368,0.725608,1.148485,0.023748,-0.000000,-1.471428,-0.415446,-0.000008,0.019238,0.254129,-0.422894,0.131492,-0.422233,-0.617798,-0.007907,0.682331,-0.250956,0.384576,-0.994044,-0.418343,0,0
1677190281128000,-0.287435,0.828814,-1.298330,2.417020,-15.381109,-3.588125,0.737154,-0.081062,0.102915,5.358517,-0.588252,-1.277881,0.564768,0.011118,-0.007609,0.825297,-0.632325,-0.156974,-0.132864,0.747096,1.200492,0.026949,-0.000000,-1.405075,-0.414330,-0.000008,0.014984,0.252691,-0.416044,0.170571,-0.694265,-0.626715,-0.013251,0.704705,-0.242274,0.314458,-1.107043,-0.134565,0,0
