Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0.0,9.87,-3.5,-4.62,0.0344579,0.9578811,0.2275656
0.01960015296936035,17.08,2.38,-10.36,0.0344579,0.9578811,0.2275656
0.0392000675201416,23.1,3.64,-13.16,-0.0134003,0.943045,0.1797074
0.05879998207092285,19.879999,3.85,-10.92,-0.0011965,0.892794,0.1998078
0.08000016212463379,5.81,-0.84,2.73,0.0086145,0.9162445,0.2658521
0.09960007667541504,-5.6,-5.81,11.27,-0.0217755,0.9224661,0.3050958
0.11919999122619629,-5.67,-10.08,10.71,-0.0737016,0.9681706,0.2450338
0.13880014419555664,4.9,-11.41,4.76,-0.1488389,0.9739136,0.1751609
0.15900015830993652,18.690001,-4.2,-3.15,-0.1488389,0.9739136,0.1751609
0.17860007286071777,15.47,0.0,-8.12,-0.0650871,0.9516596,0.2445552
0.19819998741149902,12.95,3.22,-8.61,0.0136396,0.9399343,0.2450338
0.21780014038085938,9.17,3.08,-4.62,-0.0591048,0.9325163,0.1840146
0.2390000820159912,15.12,-0.98,-1.19,-0.0591048,0.9325163,0.1840146
0.25859999656677246,15.26,-6.09,-0.49,-0.0547976,0.9459166,0.20244
0.2782001495361328,13.3,-6.72,-2.24,-0.0100502,0.9688885,0.1564962
0.29780006408691406,21.77,-5.6,-1.61,-0.0100502,0.9688885,0.1564962
0.3190000057220459,38.150002,-5.6,1.05,-0.0124431,0.9641026,0.2132081
0.33860015869140625,43.119999,-6.72,6.93,-0.0124431,0.9641026,0.2132081
0.3582000732421875,16.030001,-3.92,10.36,-0.0550369,0.9961677,0.2254119
0.37779998779296875,2.24,-2.03,9.24,-0.0751373,1.012918,0.1789895
0.39800000190734863,-19.6,-3.5,6.09,-0.018904,0.9286877,0.1256277
0.417600154876709,-12.04,-5.11,1.05,-0.018904,0.9286877,0.1256277
0.43720006942749023,3.78,-5.53,-2.52,0.0002393,0.9502238,0.1909541
0.4567999839782715,15.82,-6.58,-0.21,-0.0758552,0.9578811,0.1720501
0.4780001640319824,20.93,-8.89,5.6,-0.1495568,0.9696064,0.1785109
0.49760007858276367,34.650002,-10.15,13.72,-0.1430959,0.9641026,0.1347207
